,OOO裡沒有OO,XXX不倒，臺灣不會好,別讓XX不開心,原來是OO，我還以為是XX呢,唯一支持OO,如果OO不是XX那什麼才是XX,我有一個請求，你OOO的時候不能XX，若有XX，我要跟你OO,抓到了，XXX請退選,潮(海)水退了就知道誰沒穿褲子,無限期支持ＯＯ,當OO成為事實XX就是義務,自己的OO自己X
0,6,3,6,3,3,6,6,1,6,3,6,6
1,5,6,6,5,6,5,1,2,6,6,5,5
2,4,6,6,5,5,4,3,5,5,5,5,6
3,6,6,6,5,6,5,3,6,6,5,3,5
4,5,4,5,4,5,4,4,5,2,5,4,5
5,5,6,6,6,6,6,4,6,6,6,2,4
6,4,5,6,5,4,5,4,4,2,6,3,6
7,2,3,4,5,5,3,2,6,5,5,3,5
8,4,4,5,6,5,4,4,6,3,5,4,6
9,2,5,6,6,5,4,2,6,5,6,4,6
10,4,6,6,6,6,6,3,6,6,6,6,6
11,5,2,6,3,4,2,1,2,3,3,2,4
12,4,4,4,5,4,4,4,3,3,4,4,4
13,5,5,5,5,5,5,5,5,5,5,5,5
14,4,4,6,6,6,6,6,6,6,6,6,6
15,3,1,6,6,6,6,6,1,1,6,6,6
16,3,4,4,4,4,3,4,3,3,4,3,4
17,5,5,5,5,5,5,5,5,5,5,5,5
18,6,4,4,4,3,4,3,4,3,3,6,5
19,2,6,5,6,6,5,2,3,1,6,3,5
20,3,5,5,5,4,3,3,4,2,6,4,4
21,1,6,6,6,6,6,1,6,6,6,6,6
22,3,6,6,3,6,4,3,4,3,6,4,5
23,5,5,5,5,5,5,5,5,3,4,5,5
24,6,6,6,6,6,6,3,6,6,6,6,5
25,2,1,6,5,3,4,1,2,5,4,1,3
26,3,3,5,5,3,4,3,3,3,4,3,4
27,6,5,6,6,4,6,3,5,3,5,5,6
28,6,6,6,6,6,6,6,6,6,6,6,6
29,5,5,5,5,5,5,5,5,5,5,5,5
30,4,2,2,3,4,4,3,3,4,2,3,3
31,1,6,6,1,1,1,1,1,1,3,1,6
32,2,3,5,3,3,3,3,3,2,3,3,5
33,2,2,2,4,2,2,2,2,2,2,2,3
34,3,4,5,2,4,6,4,4,6,4,3,4
35,3,3,5,4,4,4,2,3,3,5,4,4
36,3,5,5,4,6,5,3,5,6,6,4,5
37,4,3,5,3,4,4,2,2,2,5,3,5
38,4,4,6,6,4,5,4,5,6,6,4,6
39,4,4,4,4,4,3,2,3,2,4,3,4
40,6,6,6,6,6,6,6,6,6,6,6,6
41,5,6,6,4,4,2,3,5,1,6,6,4
42,3,4,6,5,5,5,4,3,2,5,4,5
