,2.0,Z>B,over my dead body,一身皺褶,三七元,不自殺聲明,中壢李姓客倌,剩蚊,割闌尾,北連中胡,半分忠,反黑箱,吹狗蕾,大腸花,太陽花,太陽餅,婉君,希望的種子,帶風向,政治素人,次元切割刀,洗洗睡,玻璃心,瘋吱谷,砂石倫,祭止兀,綠衛兵,連公子,香蕉,馬卡茸,黃金切割
1,5,3,3,5,4,4,4,4,4,4,5,3,4,4,3,4,3,4,5,3,5,3,5,4,4,4,4,4,4,5,5
2,4,4,3,4,3,3,4,4,4,4,4,2,4,4,4,4,4,3,4,3,4,3,4,4,3,4,4,4,3,5,4
3,6,5,3,6,5,6,6,5,3,6,5,2,6,4,1,4,3,6,3,2,6,5,5,5,5,5,4,6,5,5,5
4,4,4,5,2,2,3,2,5,5,3,2,1,2,4,1,6,3,1,3,1,3,6,1,6,3,6,3,5,4,6,3
5,6,6,1,6,6,6,6,6,1,6,6,1,6,1,1,1,6,6,6,1,6,1,6,6,6,6,1,6,6,6,6
6,4,6,4,6,5,5,6,5,3,6,6,4,6,5,1,5,3,4,3,2,5,5,5,6,5,5,6,5,5,6,4
7,4,5,3,4,4,5,3,5,2,3,4,4,6,5,3,2,3,3,4,2,2,5,4,5,5,4,2,4,3,6,6
8,6,5,4,6,5,4,4,6,4,5,5,2,6,4,3,6,2,6,4,3,6,3,3,4,5,5,4,5,5,6,6
9,3,3,2,3,6,2,5,6,6,4,6,5,6,6,3,3,4,5,5,4,5,4,4,6,6,6,6,6,3,6,4
10,4,4,2,4,4,4,4,4,2,6,4,1,4,2,2,4,2,2,4,2,6,2,4,4,4,2,4,2,6,6,4
11,4,6,3,3,5,3,5,4,2,1,4,1,4,2,1,1,5,5,1,1,6,1,3,6,4,4,2,5,1,5,5
12,4,5,4,5,3,4,4,3,3,5,3,3,3,4,4,4,3,4,3,3,4,3,4,3,4,4,2,3,4,5,4
13,6,6,3,2,3,6,3,4,3,5,6,1,5,3,2,2,2,6,3,3,6,4,2,3,5,4,6,3,4,6,6
14,5,5,3,3,4,5,4,5,5,5,5,1,6,5,1,2,4,2,2,1,6,3,4,4,5,5,6,4,4,5,6
15,2,5,4,3,4,5,3,5,5,3,4,3,5,3,3,4,4,5,2,3,6,4,4,3,4,5,3,6,4,5,6
16,6,6,6,6,6,6,6,6,5,6,6,3,6,6,6,6,5,4,5,1,6,5,6,5,6,6,1,5,6,5,6
17,6,5,4,6,4,5,5,5,4,6,5,3,5,4,3,5,3,5,3,4,5,5,6,5,5,5,4,5,4,6,4
18,3,2,3,4,3,3,3,4,4,3,4,2,4,5,3,3,4,2,3,2,4,4,3,3,3,3,3,4,3,5,3
19,6,6,1,6,6,5,6,6,3,6,6,1,5,3,2,4,4,5,2,2,5,3,6,5,6,6,3,6,5,4,6
20,1,1,1,1,1,5,1,3,1,1,1,1,2,1,1,4,1,1,1,1,1,1,4,1,2,1,1,4,1,1,1
21,3,3,2,4,4,5,3,4,3,4,3,3,3,3,4,3,2,5,2,3,3,2,4,2,4,5,4,4,3,4,3
22,5,6,5,6,3,4,4,4,4,5,6,2,6,4,3,1,2,6,4,2,6,4,5,4,5,6,4,5,6,6,6
23,2,2,2,3,3,3,3,2,2,3,3,2,3,2,3,3,3,3,3,3,2,3,3,3,2,2,3,2,3,2,3
24,5,5,5,5,5,4,4,5,4,3,5,3,4,3,4,3,5,5,4,2,5,4,5,5,5,3,4,5,5,5,5
25,2,4,5,4,4,1,4,5,1,1,4,1,4,1,1,2,2,4,1,1,1,4,1,4,5,5,4,4,6,4,4
26,6,3,5,3,4,3,6,6,4,5,3,3,6,4,3,5,4,6,4,3,5,3,3,6,4,5,5,4,5,6,4
27,5,5,5,5,6,5,6,4,4,5,5,2,5,4,3,4,3,4,4,4,5,3,5,4,5,6,4,4,4,5,6
28,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,2
29,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,2,1,1,1,1,6,1,1,1,1,1,1,1,1,1
30,3,2,4,4,4,2,4,4,4,4,4,4,4,5,2,3,2,4,2,2,5,2,2,2,4,4,3,3,4,4,4
31,5,5,5,5,5,4,5,5,4,6,5,4,4,3,4,3,4,5,5,4,5,5,4,3,5,5,5,4,5,4,4
32,3,3,3,3,4,3,5,5,3,5,4,3,3,4,3,3,3,3,3,3,5,3,3,3,5,3,3,4,3,4,3
33,6,6,3,3,4,6,6,4,5,5,4,4,4,4,4,6,4,4,6,3,5,5,6,4,5,4,4,6,6,6,5
34,4,4,4,5,4,4,4,6,5,4,6,3,6,4,3,4,3,4,4,3,4,4,4,5,4,3,5,4,4,5,4
35,5,4,5,2,5,2,2,5,3,4,4,3,5,5,3,1,1,6,2,3,4,2,4,5,4,6,4,5,1,6,2
36,5,5,4,5,5,5,3,4,4,5,5,5,5,3,5,4,5,3,5,5,5,4,5,5,5,5,5,4,5,5,4
37,4,6,4,6,2,3,3,5,6,5,6,2,6,6,1,5,5,6,3,1,2,6,3,5,6,6,3,5,6,6,3
38,4,6,1,5,5,1,5,3,2,6,5,4,5,4,1,4,5,2,2,2,5,2,3,6,4,5,5,5,5,6,4
